,entity_name,filename,entity_type,snippet
256,Codicillaire,NL-HaNA_1.04.02_6847_0023.txt,PERSON," wesen om Codicillaire te
dispon"
257,prijdom,NL-HaNA_1.04.02_6847_0023.txt,GPE,arende in prijdom te stelle
258,Casar van boegees,NL-HaNA_1.04.02_6847_0023.txt,PERSON, boezonen Casar van boegees iedermet 
259,bespreeken,NL-HaNA_1.04.02_6847_0039.txt,GPE,tateur te bespreeken de volgen
260,Namentlik,NL-HaNA_1.04.02_6847_0039.txt,ORG,"e Legaten Namentlik,
twin„
Aa"
261,nogo patnam,NL-HaNA_1.04.02_6847_0039.txt,PERSON,conie tot nogo patnam eengelijk
262,Petrus Hollebeek,NL-HaNA_1.04.02_6847_0039.txt,PERSON,oeder dE: Petrus Hollebeek boekh en 
263,boekh,NL-HaNA_1.04.02_6847_0039.txt,GPE,Hollebeek boekh en gecomm
264,mitsg,NL-HaNA_1.04.02_6847_0039.txt,PERSON,agapatnam mitsg:s nat Ins
265,Anna Cornilia,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"nat Ins=m Anna Cornilia„
Bonk
en "
266,Jan du Mow Secunde,NL-HaNA_1.04.02_6847_0039.txt,PERSON,r man dE: Jan du Mow Secunde en Kassie
267,Kassier,NL-HaNA_1.04.02_6847_0039.txt,PERSON,ecunde en Kassier te Jagger
268,Jagger,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"assier te Jagger„
pack poe"
269,hollebeek,NL-HaNA_1.04.02_6847_0039.txt,GPE,n broeder hollebeek item Iup=
270,Jan du Mon versonden,NL-HaNA_1.04.02_6847_0039.txt,PERSON, haar man Jan du Mon versonden zal worde
271,Thien ofte,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"somma van Thien ofte met
huw b"
272,munte voorshheeven,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"jndaalder munte voorshheeven.—
Aan S=t"
273,ta Parlina,NL-HaNA_1.04.02_6847_0039.txt,ORG,"n.—
Aan S=ta Parlina Tenobia G"
274,Gulianus vrije Cristene,NL-HaNA_1.04.02_6847_0039.txt,ORG,"a Tenobia Gulianus vrije Cristene vrouw
Een"
275,anthonius gragt,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"
off Pite anthonius gragt buyten de"
276,Crietene persoone,NL-HaNA_1.04.02_6847_0039.txt,PERSON,nlandsche Crietene persoone Anvora Fr
277,nagapatn,NL-HaNA_1.04.02_6847_0039.txt,GPE,g tig tot nagapatn: een Somm
278,Twintig rd,NL-HaNA_1.04.02_6847_0039.txt,ORG,Somma van Twintig rd:s minte a
279,minte,NL-HaNA_1.04.02_6847_0039.txt,GPE,ntig rd:s minte als voore
280,generaale Eysshelling,NL-HaNA_1.04.02_6847_0039.txt,PERSON,lgens ter generaale Eysshelling overgaand
281,Testateur,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"aarde den
Testateur als geene"
282,nomineeren,NL-HaNA_1.04.02_6847_0039.txt,GPE,enemen te nomineeren en instit
283,institueeren,NL-HaNA_1.04.02_6847_0039.txt,GPE,neeren en institueeren zijn broe
284,Anna Cornelia Bonk,NL-HaNA_1.04.02_6847_0039.txt,PERSON,k en nigt Anna Cornelia Bonk item haar
285,Ian du,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"haare man Ian du
mon alle "
286,nate,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"e verdere nate„
latene g"
287,Egaale portien,NL-HaNA_1.04.02_6847_0039.txt,PERSON," drien in Egaale portien
verdeelt "
288,Eligeerende,NL-HaNA_1.04.02_6847_0039.txt,ORG,"
sellende Eligeerende en Consti"
289,Constitueerende den,NL-HaNA_1.04.02_6847_0039.txt,PERSON,erende en Constitueerende den testateur
290,testamente,NL-HaNA_1.04.02_6847_0039.txt,GPE,urs deser testamente redderaar
291,zijnes,NL-HaNA_1.04.02_6847_0039.txt,PERSON,edderaars zijnes boedels e
292,latensh,NL-HaNA_1.04.02_6847_0039.txt,GPE,"els en na latensh.
mitsg:s "
293,sijne begraffeniise,NL-HaNA_1.04.02_6847_0039.txt,PERSON,rgers van sijne begraffeniise VE: georg
294,george wilhelen,NL-HaNA_1.04.02_6847_0039.txt,PERSON,"niise VE: george wilhelen Lasche
"
295,lae,NL-HaNA_1.04.02_6847_0026.txt,ORG,"e name te lae„
ten over"
296,syn,NL-HaNA_1.04.02_6847_0026.txt,PERSON,eurs over syn testateur
297,Gelden,NL-HaNA_1.04.02_6847_0026.txt,GPE,ene maand Gelden zeer Eerb
298,indische Comp,NL-HaNA_1.04.02_6847_0026.txt,ORG,"erde oost indische Comp:
ter kame"
299,Eynde,NL-HaNA_1.04.02_6847_0026.txt,GPE, zijn ten Eynde door haar
300,nyvkrogte deses,NL-HaNA_1.04.02_6847_0026.txt,PERSON,geene die nyvkrogte deses tot den o
301,den ontfangst,NL-HaNA_1.04.02_6847_0026.txt,PERSON,deses tot den ontfangst zullen we
302,Collegie van heeren,NL-HaNA_1.04.02_6847_0026.txt,ORG,"ed tEerw.
Collegie van heeren wilsm: de"
303,deser,NL-HaNA_1.04.02_6847_0026.txt,GPE,en wilsm: deser steede en
304,VE Cumtoren,NL-HaNA_1.04.02_6847_0026.txt,ORG,teelateur VE Cumtoren adlites s
305,adlites soo,NL-HaNA_1.04.02_6847_0026.txt,PERSON, Cumtoren adlites soo hier als 
306,noet,NL-HaNA_1.04.02_6847_0026.txt,PERSON,"ls Elders noet Je„
genst"
307,insereeren,NL-HaNA_1.04.02_6847_0026.txt,GPE,"alhier te insereeren de clan
S"
308,Sule reservatoir,NL-HaNA_1.04.02_6847_0026.txt,ORG,"n de clan
Sule reservatoir en uytkro"
309,Faculteit omme deese hunne testamentaire dispositie,NL-HaNA_1.04.02_6847_0026.txt,ORG,"e
mogt en Faculteit omme deese hunne testamentaire dispositie
ten allen"
310,off,NL-HaNA_1.04.02_6847_0026.txt,ORG, te samen off ieder afs
311,afsonderlijk,NL-HaNA_1.04.02_6847_0026.txt,PERSON,off ieder afsonderlijk bij een a
312,Gedaan,NL-HaNA_1.04.02_6847_0026.txt,GPE,"eeren diz Gedaan zijnde, w"
313,alsulke Conditien,NL-HaNA_1.04.02_6847_0026.txt,PERSON,en voorts alsulke Conditien te mogen 
314,rade,NL-HaNA_1.04.02_6847_0026.txt,PERSON,r Ed:s te rade werden zu
315,inne,NL-HaNA_1.04.02_6847_0026.txt,PERSON,elve hier inne woordelij
316,tcompt,NL-HaNA_1.04.02_6847_0026.txt,GPE,stateuren tcompt en duijde
317,lyk voorgelesen,NL-HaNA_1.04.02_6847_0026.txt,PERSON,"n duijde„
lyk voorgelesen, en door "
318,Esserk,NL-HaNA_1.04.02_6847_0026.txt,ORG," kragt en Esserk mogte
wes"
319,pieter mochiels,NL-HaNA_1.04.02_6847_0026.txt,PERSON,"wesen van
pieter mochiels en dirk o"
320,dirk oostwalt Clercquen,NL-HaNA_1.04.02_6847_0026.txt,PERSON,chiels en dirk oostwalt Clercquen als getui
321,gesz,NL-HaNA_1.04.02_6847_0026.txt,GPE,tekend en gesz: op een z
322,Thien,NL-HaNA_1.04.02_6847_0026.txt,PERSON,"zegul
van Thien Ed:s /ond"
323,/onderstond,NL-HaNA_1.04.02_6847_0026.txt,GPE,hien Ed:s /onderstond) quod att
324,quod attastor /was getekend,NL-HaNA_1.04.02_6847_0026.txt,ORG,"derstond) quod attastor /was getekend P:
W: Lam"
325,Lammens,NL-HaNA_1.04.02_6847_0026.txt,GPE,"end P:
W: Lammens, nots:
Ja"
326,"Jan van
veeren op Heeden",NL-HaNA_1.04.02_6847_0026.txt,PERSON,"ns, nots:
Jan van
veeren op Heeden den 17:' "
327,Egbert Blomhert,NL-HaNA_1.04.02_6847_0026.txt,PERSON,r mij m:r Egbert Blomhert nots pusl
328,regeringe,NL-HaNA_1.04.02_6847_0026.txt,GPE,ele proga regeringe van neder
329,stad batavia,NL-HaNA_1.04.02_6847_0026.txt,GPE,"binnen
de stad batavia resideere"
330,Chrrstana Hendriks,NL-HaNA_1.04.02_6847_0019.txt,PERSON,er Jn p=m Chrrstana Hendriks Eerder we
331,wed,NL-HaNA_1.04.02_6847_0019.txt,PERSON,ks Eerder wed:e van Jaa
332,"Jaak
Martens Cramer",NL-HaNA_1.04.02_6847_0019.txt,PERSON,"wed:e van Jaak
Martens Cramer en thans "
333,Cobald,NL-HaNA_1.04.02_6847_0019.txt,GPE,thans van Cobald Hendrik B
334,Hendrik Brinkman,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"an Cobald Hendrik Brinkman
en bij ha"
335,Cobald,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"en suster Cobald Eijko
Bri"
336,Sabina,NL-HaNA_1.04.02_6847_0019.txt,PERSON,rnoemd en Sabina Elisabeth
337,Elisabeth Brinkman,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"en Sabina Elisabeth Brinkman
alle woon"
338,oostvriesland,NL-HaNA_1.04.02_6847_0019.txt,GPE,oorden in oostvriesland en dat ie
339,Testateur,NL-HaNA_1.04.02_6847_0019.txt,PERSON, geen nij Testateur met er do
340,dord,NL-HaNA_1.04.02_6847_0019.txt,ORG,"ur met er dord zal
komen"
341,actien,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"
goederen actien en credit"
342,crediten,NL-HaNA_1.04.02_6847_0019.txt,PERSON,actien en crediten nets uijt
343,nets,NL-HaNA_1.04.02_6847_0019.txt,PERSON, crediten nets uijtgeson
344,Consktueerende,NL-HaNA_1.04.02_6847_0019.txt,PERSON,erende en Consktueerende hij testa
345,begrovanis,NL-HaNA_1.04.02_6847_0019.txt,GPE,amente En begrovanis besorgers
346,"redderaan
",NL-HaNA_1.04.02_6847_0019.txt,PERSON,"gers item redderaan
Zijns foed"
347,Pieter Iacob,NL-HaNA_1.04.02_6847_0019.txt,PERSON,s iE: m:r Pieter Iacob Bert mede
348,Bert,NL-HaNA_1.04.02_6847_0019.txt,PERSON,ter Iacob Bert mede notz
349,willem verrusie,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"
Plede en willem verrusie apothecar"
350,apothecar,NL-HaNA_1.04.02_6847_0019.txt,ORG, verrusie apothecar ten diens
351,meerm,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"n dienste meerm de
manvae"
352,ample last,NL-HaNA_1.04.02_6847_0019.txt,PERSON,Zodanigen ample last magt en a
353,zulx d’,NL-HaNA_1.04.02_6847_0019.txt,PERSON,ende over zulx d’ Eerw: hee
354,Eerw,NL-HaNA_1.04.02_6847_0019.txt,ORG,r zulx d’ Eerw: heeren w
355,magistraats,NL-HaNA_1.04.02_6847_0019.txt,GPE,le andere magistraats persoonen
356,Executeurs,NL-HaNA_1.04.02_6847_0019.txt,GPE,"
maar tot Executeurs over zijn"
357,indische Comp,NL-HaNA_1.04.02_6847_0019.txt,ORG,erde oost indische Comp: ter kame
358,Amsterdam,NL-HaNA_1.04.02_6847_0019.txt,GPE,"ter kamer
Amsterdam waar voor"
359,nij afhiermeerd uitgevaeren,NL-HaNA_1.04.02_6847_0019.txt,ORG,waar voor nij afhiermeerd uitgevaeren te zijn t
360,wesen gequalificeerd,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"angst zal wesen gequalificeerd,
Laasteli"
361,"beswagd
",NL-HaNA_1.04.02_6847_0019.txt,PERSON,"jdend 20: beswagd
alle gunt "
362,duijdelyk,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"testateur duijdelyk voor„
gel"
363,Codicill,NL-HaNA_1.04.02_6847_0019.txt,GPE,zestament Codicill zoo en in
364,woonplaatse van den,NL-HaNA_1.04.02_6847_0019.txt,ORG,eerde ter woonplaatse van den testateur
365,Gerardus Elias Rwalette,NL-HaNA_1.04.02_6847_0019.txt,PERSON,"n
tie van Gerardus Elias Rwalette ende Iona"
366,"Domingosz
",NL-HaNA_1.04.02_6847_0019.txt,ORG,"nde Ionas Domingosz
Clencquen "
367,"pieter
Jacob Bert nots",NL-HaNA_1.04.02_6847_0030.txt,PERSON,"kend/ m:r pieter
Jacob Bert nots: / ter si"
368,dato deses Batavia,NL-HaNA_1.04.02_6847_0030.txt,PERSON,lutie van dato deses Batavia in de wei
369,getekend/ Meijer,NL-HaNA_1.04.02_6847_0030.txt,ORG,1769 /was getekend/ Meijer Secretari
370,Henderik Hiller,NL-HaNA_1.04.02_6847_0030.txt,PERSON,"cretaris;
Henderik Hiller
N:o 9 op "
371,Heeden,NL-HaNA_1.04.02_6847_0030.txt,GPE,"
N:o 9 op Heeden den 1 Maa"
372,Egbert Blomhert,NL-HaNA_1.04.02_6847_0030.txt,PERSON,r mij M:r Egbert Blomhert nots zubl
373,zubl,NL-HaNA_1.04.02_6847_0030.txt,PERSON,"hert nots zubl bij
de Ed"
374,Batavia,NL-HaNA_1.04.02_6847_0030.txt,GPE,"n de stad
Batavia resideere"
375,natenoemen,NL-HaNA_1.04.02_6847_0030.txt,ORG,resent de natenoemen getuigen 
376,"hendrik
Hiller",NL-HaNA_1.04.02_6847_0030.txt,PERSON,"tuigen dE hendrik
Hiller voorleese"
377,kapelle alhier,NL-HaNA_1.04.02_6847_0030.txt,PERSON, kasteels kapelle alhier woonende 
378,Broon,NL-HaNA_1.04.02_6847_0030.txt,ORG,"kend,
die Broon ziek en s"
379,swak van lichaam,NL-HaNA_1.04.02_6847_0030.txt,PERSON,n ziek en swak van lichaam mij nits 
380,duydelijke uijtsproeke,NL-HaNA_1.04.02_6847_0030.txt,ORG,rstand en duydelijke uijtsproeke te kennen
381,Sara Dorothea,NL-HaNA_1.04.02_6847_0030.txt,PERSON," als,
Aan Sara Dorothea en Pacomi"
382,Kreps,NL-HaNA_1.04.02_6847_0030.txt,GPE,"rterdigda
Kreps twee mind"
383,Lambertus,NL-HaNA_1.04.02_6847_0030.txt,ORG,"rs van dE Lambertus Da
nel Kr"
384,Regent van het E,NL-HaNA_1.04.02_6847_0030.txt,PERSON,ps binnen Regent van het E: Comp.s b
385,hosst,NL-HaNA_1.04.02_6847_0030.txt,GPE,".s binnen hosst
alhier ie"
386,Zes Duisend ofte,NL-HaNA_1.04.02_6847_0030.txt,ORG,"somma van Zes Duisend ofte met haar
"
387,Johanna,NL-HaNA_1.04.02_6847_0030.txt,PERSON, de Jep=m Johanna en Christ
388,Christina Willer,NL-HaNA_1.04.02_6847_0030.txt,PERSON,ohanna en Christina Willer zijnde br
389,amot,NL-HaNA_1.04.02_6847_0030.txt,GPE,itsen tot amot ieder een
390,beyde ses hondert Rd,NL-HaNA_1.04.02_6847_0030.txt,ORG," met
haar beyde ses hondert Rd: (munte v"
391,munte,NL-HaNA_1.04.02_6847_0030.txt,GPE,dert Rd: (munte voorm: / 
392,Sargeies de Laen,NL-HaNA_1.04.02_6847_0030.txt,PERSON,n de heer Sargeies de Laen tot amnit
393,amnit,NL-HaNA_1.04.02_6847_0030.txt,ORG, Laen tot amnit en zijne 
394,zijne henpomr,NL-HaNA_1.04.02_6847_0030.txt,PERSON," amnit en zijne henpomr
Pijs=m An"
395,Anna vernoij,NL-HaNA_1.04.02_6847_0030.txt,PERSON,"mr
Pijs=m Anna vernoij te zamen "
396,eene somma,NL-HaNA_1.04.02_6847_0030.txt,ORG,"de
kunmer eene somma van vier "
397,munte,NL-HaNA_1.04.02_6847_0030.txt,GPE,dert Ed:s munte als voore
398,overliden,NL-HaNA_1.04.02_6847_0030.txt,GPE,"ij
_
voor overliden van giebe"
399,giebeide,NL-HaNA_1.04.02_6847_0030.txt,GPE,liden van giebeide aan der s
400,generaale,NL-HaNA_1.04.02_6847_0030.txt,PERSON,ls nu ter generaale dispositi
401,universeele,NL-HaNA_1.04.02_6847_0030.txt,GPE,eheele en universeele Erfgename
402,institueeren,NL-HaNA_1.04.02_6847_0030.txt,GPE,neeren en institueeren zijn eeni
403,Lambertus daniel kreps,NL-HaNA_1.04.02_6847_0030.txt,PERSON,uw van dE Lambertus daniel kreps hier voor
404,batavia resiacerinse,NL-HaNA_1.04.02_6847_0030.txt,PERSON,"r
de stat batavia resiacerinse ende voor"
405,g'insereerd,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"ijk stond g'insereerd, dan wel
"
406,Codicie voor nots,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"n wel
bij Codicie voor nots: en getui"
407,hooge regering deser,NL-HaNA_1.04.02_6847_0032.txt,ORG," d’ Edele
hooge regering deser landen da"
408,borijse van den,NL-HaNA_1.04.02_6847_0032.txt,ORG,seerd ten borijse van den testateur
409,tegenwoor,NL-HaNA_1.04.02_6847_0032.txt,GPE,"e stad in tegenwoor„
degheid "
410,Sirardus,NL-HaNA_1.04.02_6847_0032.txt,PERSON,gheid van Sirardus de Welo e
411,Bernardus,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"e Welo en Bernardus Vrons
Cle"
412,Bien Rd,NL-HaNA_1.04.02_6847_0032.txt,PERSON,segue van Bien Rd:s /onders
413,Blomhert,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"ekend/ P: Blomhert notaris,
"
414,Jan Schreuder,NL-HaNA_1.04.02_6847_0032.txt,PERSON," notaris,
Jan Schreuder
10 op Hee"
415,Heeden,NL-HaNA_1.04.02_6847_0032.txt,GPE,"der
10 op Heeden Den 16: J"
416,Den,NL-HaNA_1.04.02_6847_0032.txt,GPE,op Heeden Den 16: Janua
417,Pieter willem Lammens,NL-HaNA_1.04.02_6847_0032.txt,PERSON,eb ik m:r Pieter willem Lammens nots publ
418,nederlands India,NL-HaNA_1.04.02_6847_0032.txt,GPE,ringe van nederlands India gadmitsee
419,stad Batavia,NL-HaNA_1.04.02_6847_0032.txt,GPE,uijten de stad Batavia resideere
420,resideerende,NL-HaNA_1.04.02_6847_0032.txt,GPE,"d Batavia resideerende, nevens d"
421,naartenoemene,NL-HaNA_1.04.02_6847_0032.txt,GPE,"nevens de naartenoemene
getuijgen"
422,"Jac
",NL-HaNA_1.04.02_6847_0032.txt,PERSON," weg naar Jac
Catra brri"
423,brrijfen,NL-HaNA_1.04.02_6847_0032.txt,GPE,"Jac
Catra brrijfen dese sad."
424,dese sad,NL-HaNA_1.04.02_6847_0032.txt,ORG, brrijfen dese sad. ten ster
425,sterffengse van den,NL-HaNA_1.04.02_6847_0032.txt,ORG," sad. ten sterffengse van den ZooEeen
o"
426,gestrengen Heer,NL-HaNA_1.04.02_6847_0032.txt,PERSON,wel Edele gestrengen Heer Jan Schrr
427,Jan Schrrender,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"ngen Heer Jan Schrrender
raad opd:"
428,opd,NL-HaNA_1.04.02_6847_0032.txt,ORG,"nder
raad opd: van nede"
429,nederlands india,NL-HaNA_1.04.02_6847_0032.txt,GPE, opd: van nederlands india en presid
430,t Eerw,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"ident van t Eerw.
Cillegie"
431,Weesm,NL-HaNA_1.04.02_6847_0032.txt,PERSON,an heeren Weesm: deser st
432,deser stede,NL-HaNA_1.04.02_6847_0032.txt,GPE,en Weesm: deser stede en aldaar
433,mevrouwe Clara geertruij,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"elhouster mevrouwe Clara geertruij„

da de L"
434,da de Lahaye,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"ertruij„

da de Lahaye wij ter h"
435,t beslooten,NL-HaNA_1.04.02_6847_0032.txt,PERSON,tie weg„s t beslooten testament
436,Heer,NL-HaNA_1.04.02_6847_0032.txt,PERSON,estringen Heer en Mevrou
437,sestig gespperschribeerd,NL-HaNA_1.04.02_6847_0032.txt,PERSON,"leeven en sestig gespperschribeerd, enidende"
438,gesz,NL-HaNA_1.04.02_6847_0020.txt,GPE,"tekend en gesz: op een
Z"
439,quod AHestor,NL-HaNA_1.04.02_6847_0020.txt,PERSON,derstond/ quod AHestor (=was get
440,Jan Zalle,NL-HaNA_1.04.02_6847_0020.txt,PERSON,")
Andries Jan Zalle nots: ter"
441,November,NL-HaNA_1.04.02_6847_0020.txt,GPE,"n den 21: November 1768
Comp"
442,dastad Batavia,NL-HaNA_1.04.02_6847_0020.txt,PERSON,"rd binnen dastad Batavia, resideer"
443,resideerende,NL-HaNA_1.04.02_6847_0020.txt,PERSON," Batavia, resideerende ende rio
"
444,Willem verruci,NL-HaNA_1.04.02_6847_0020.txt,PERSON,uigen dE: Willem verruci apothecar
445,"apothecar
",NL-HaNA_1.04.02_6847_0020.txt,PERSON,"m verruci apothecar
ten dienst"
446,Nicoloas,NL-HaNA_1.04.02_6847_0020.txt,ORG,e dat Ab: Nicoloas Senk Cmam
447,Senk,NL-HaNA_1.04.02_6847_0020.txt,ORG," Nicoloas Senk Cmamer
Ch"
448,Chiaurgijn,NL-HaNA_1.04.02_6847_0020.txt,GPE,"nk Cmamer
Chiaurgijn ten diens"
449,testamente,NL-HaNA_1.04.02_6847_0020.txt,GPE,orsz: bij testamente voor den 
450,Jan Zalle,NL-HaNA_1.04.02_6847_0020.txt,PERSON,"An„
dries Jan Zalle en getuig"
451,dato,NL-HaNA_1.04.02_6847_0020.txt,PERSON,gen onder dato 9 xber 17
452,xber,NL-HaNA_1.04.02_6847_0020.txt,GPE,er dato 9 xber 1763 met 
453,Pieter Iacob Perk,NL-HaNA_1.04.02_6847_0020.txt,PERSON,: EE: m:r Pieter Iacob Perk van Compa
454,Surrogatie,NL-HaNA_1.04.02_6847_0020.txt,GPE,"assum„
te Surrogatie en Substi"
455,"Comparantenijt
koogte van de Clansule",NL-HaNA_1.04.02_6847_0020.txt,PERSON,"aarde hij Comparantenijt
koogte van de Clansule van Assim"
456,Executeurs,NL-HaNA_1.04.02_6847_0020.txt,GPE,"
meld tot Executeurs begraveni"
457,Surrogatie,NL-HaNA_1.04.02_6847_0020.txt,GPE,ciaal van Surrogatie Substihit
458,"Fredrik
",NL-HaNA_1.04.02_6847_0020.txt,PERSON,"Groaff en Fredrik
Jansew ond"
459,Jansew,NL-HaNA_1.04.02_6847_0020.txt,ORG,"n Fredrik
Jansew onderstum"
460,onderstumman,NL-HaNA_1.04.02_6847_0020.txt,ORG,"ik
Jansew onderstumman in voorsz"
461,attestor:/,NL-HaNA_1.04.02_6847_0020.txt,ORG,ond/ quod attestor:/ was gete„
462,kend/,NL-HaNA_1.04.02_6847_0020.txt,ORG,"was gete„
kend/ wigges wa"
463,wigges wasgaren,NL-HaNA_1.04.02_6847_0020.txt,PERSON,"te„
kend/ wigges wasgaren nots ter "
464,vertond/,NL-HaNA_1.04.02_6847_0020.txt,ORG,"ter zijde vertond/ dit acte
"
465,dato deses,NL-HaNA_1.04.02_6847_0020.txt,PERSON,"esol: van dato deses Babas„
pr"
466,weesk,NL-HaNA_1.04.02_6847_0020.txt,GPE,"
pram d’' weesk: den 7: 9"
467,/:was getek:/ mey,NL-HaNA_1.04.02_6847_0020.txt,ORG,9ber 1768 /:was getek:/ mey er secret
468,Twaalfze,NL-HaNA_1.04.02_6847_0020.txt,PERSON,uijdenaen Twaalfze Perlij se
469,seventhien hondert,NL-HaNA_1.04.02_6847_0020.txt,PERSON,"ze Perlij seventhien hondert,
Drie en "
470,Codicell,NL-HaNA_1.04.02_6847_0016.txt,GPE,"testament Codicell of
zodani"
471,Abraham Salomons,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"e
Clercq:
Abraham Salomons en Hendri"
472,Hendrik Abrahamsz,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"lomons en Hendrik Abrahamsz
als getri"
473,gnodaterston,NL-HaNA_1.04.02_6847_0016.txt,PERSON,derstond/ gnodaterston was getek
474,Blomhert,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"d
Eggbert Blomhert /mots:
na"
475,/mots,NL-HaNA_1.04.02_6847_0016.txt,PERSON," Blomhert /mots:
naar ged"
476,Collatie,NL-HaNA_1.04.02_6847_0016.txt,GPE,r gedaane Collatie is dese m
477,alhier resideerende,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"emde nots alhier resideerende
Natavo de"
478,8bert,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"o den 13: 8bert 1768:
Mar"
479,Egbert Blomhert,NL-HaNA_1.04.02_6847_0016.txt,PERSON,r mij m:r Egbert Blomhert nots: pnb
480,pnbl,NL-HaNA_1.04.02_6847_0016.txt,PERSON,ert nots: pnbl: by de Ed
481,hooge regeringe,NL-HaNA_1.04.02_6847_0016.txt,GPE," de Edele
hooge regeringe van neder"
482,getuggen mont,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"rgenoemde getuggen mont Martin
Al"
483,"Martin
",NL-HaNA_1.04.02_6847_0016.txt,PERSON,"ggen mont Martin
Albregt He"
484,ambagts quartier alhier,NL-HaNA_1.04.02_6847_0016.txt,PERSON,E: Comp:s ambagts quartier alhier en woonag
485,ziekelik van lichaam,NL-HaNA_1.04.02_6847_0016.txt,PERSON,":d
zijnde ziekelik van lichaam dog hebbe"
486,"mek
",NL-HaNA_1.04.02_6847_0016.txt,ORG,"j notaris mek
volkomen v"
487,onverwaarde uytspraetie,NL-HaNA_1.04.02_6847_0016.txt,PERSON,rstand en onverwaarde uytspraetie te kennen
488,duicke,NL-HaNA_1.04.02_6847_0016.txt,PERSON,sonder in duicke aff Berma
489,sijne natelatene,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"n om over sijne natelatene goederen
"
490,disponeeren,NL-HaNA_1.04.02_6847_0016.txt,GPE,entair te disponeeren invoegen 
491,deesen,NL-HaNA_1.04.02_6847_0016.txt,PERSON, doet bij deesen na voorga
492,prelegateeren,NL-HaNA_1.04.02_6847_0016.txt,GPE,tateur te prelegateeren aan de hi
493,onderte,NL-HaNA_1.04.02_6847_0016.txt,PERSON,"n de hier onderte noemene
E"
494,gs passen,NL-HaNA_1.04.02_6847_0016.txt,ORG,"n en haar
gs passen,
vervolge"
495,noet,NL-HaNA_1.04.02_6847_0016.txt,PERSON,deren als noet getrouwt 
496,Erfgename,NL-HaNA_1.04.02_6847_0016.txt,GPE," umireele Erfgename
Goccoaama"
497,Eeadelik,NL-HaNA_1.04.02_6847_0021.txt,ORG,"d gesteld
Eeadelik betrigden"
498,halft,NL-HaNA_1.04.02_6847_0021.txt,GPE,ddags ten halft vijff uur
499,"uuren
",NL-HaNA_1.04.02_6847_0021.txt,PERSON,"lft vijff uuren
Compareerd"
500,Johan van Viseliet,NL-HaNA_1.04.02_6847_0021.txt,PERSON, voor mij Johan van Viseliet nots prbl
501,prbl,NL-HaNA_1.04.02_6847_0021.txt,PERSON,"liet nots prbl: bij
den "
502,hove van Holland,NL-HaNA_1.04.02_6847_0021.txt,PERSON,en Edelen hove van Holland ende Edel
503,stad Batavia,NL-HaNA_1.04.02_6847_0021.txt,GPE,"binnen de stad Batavia resi„
„de"
504,resi,NL-HaNA_1.04.02_6847_0021.txt,GPE,"d Batavia resi„
„deerend"
505,den E: Eghbaa,NL-HaNA_1.04.02_6847_0021.txt,PERSON,"getuijgen den E: Eghbaa„
ren Heer"
506,Heere M,NL-HaNA_1.04.02_6847_0021.txt,PERSON,"hbaa„
ren Heere M:r Reimer "
507,Iunior,NL-HaNA_1.04.02_6847_0021.txt,PERSON,er Stapel Iunior lid in de
508,opentlijk,NL-HaNA_1.04.02_6847_0021.txt,PERSON,"e zoo
ons opentlijk bleek end"
509,aanmerkinge,NL-HaNA_1.04.02_6847_0021.txt,GPE,welken in aanmerkinge Genomen h
510,rade,NL-HaNA_1.04.02_6847_0021.txt,ORG,halven te rade geworden 
511,wos,NL-HaNA_1.04.02_6847_0021.txt,ORG," geworden wos eerwijl
d"
512,disponeeren,NL-HaNA_1.04.02_6847_0021.txt,GPE,heyden te disponeeren over sijn
513,sijn,NL-HaNA_1.04.02_6847_0021.txt,PERSON,eren over sijn E: tijdel
